season,head_coach,posteam,plays,games,actual_pass_rate,expected_pass_rate,model_pass_oe,nflverse_expected_pass_rate,nflverse_pass_oe,mean_epa,success_rate,mean_yards_gained,meets_minimum_sample,actual_pass_rate_pct,expected_pass_rate_pct,model_pass_oe_pct,nflverse_pass_oe_pct,success_rate_pct
2025,Jonathan Gannon,ARI,1068,17,0.697565543071161,0.6428858042906389,0.054679738780522055,0.6563221946261014,4.124334844505966,-0.011923025455760438,0.43164794007490637,5.188202247191011,true,69.76,64.29,5.47,412.43,43.16
2025,Andy Reid,KC,1045,17,0.6564593301435406,0.6090071001287146,0.04745223001482597,0.6179076537275999,3.9508614214983853,0.03387396197725033,0.44401913875598087,5.228708133971292,true,65.65,60.9,4.75,395.09,44.4
2025,Sean Payton,DEN,1197,19,0.6324143692564745,0.598549253492014,0.03386511576446042,0.6154139289630883,1.7000440293386168,0.02957883876686201,0.4327485380116959,5.3274853801169595,true,63.24,59.85,3.39,170.0,43.27
2025,Sean McVay,LA,1257,20,0.5966587112171837,0.5700388001620892,0.02661991105509451,0.5703897298037318,2.6268981413451944,0.15224388326994187,0.5083532219570406,6.342879872712809,true,59.67,57.0,2.66,262.69,50.84
2025,Mike Vrabel,NE,1261,21,0.6090404440919904,0.5835811436798853,0.025459300412105187,0.5879873162331939,2.1053127858796636,0.0944703860611045,0.4623314829500397,6.072957969865186,true,60.9,58.36,2.55,210.53,46.23
2025,DeMeco Ryans,HOU,1206,19,0.6053067993366501,0.5801021812193887,0.02520461811726133,0.613067621417702,-0.6931634684700277,-0.025302939977622726,0.41376451077943616,5.154228855721393,true,60.53,58.01,2.52,-69.32,41.38
2025,Zac Taylor,CIN,1044,17,0.6580459770114943,0.6354628629833489,0.02258311402814544,0.6408926903687674,1.715328664272681,-0.007790194136622653,0.4549808429118774,5.3773946360153255,true,65.8,63.55,2.26,171.53,45.5
2025,Liam Coen,JAX,1123,18,0.6028495102404274,0.5816508176803457,0.021198692560081795,0.5860822236037689,1.6767286636658472,0.03317466188215878,0.44879786286731965,5.441674087266251,true,60.28,58.17,2.12,167.67,44.88
2025,Jim Harbaugh,LAC,1136,18,0.6382042253521126,0.6186229313572807,0.01958129399483199,0.6295156376141215,0.8688587737991147,-0.028530157760483045,0.43133802816901406,5.190140845070423,true,63.82,61.86,1.96,86.89,43.13
2025,Shane Steichen,IND,999,17,0.5995995995995996,0.5836400530703291,0.01595954652927058,0.6061805932520626,-0.6580993652463079,0.08313666511937406,0.46646646646646645,5.891891891891892,true,59.96,58.36,1.6,-65.81,46.65
2025,Kevin O'Connell,MIN,934,17,0.6113490364025695,0.5957346883141342,0.015614348088435353,0.6204754283504134,-0.9126391947843788,-0.10461317201191125,0.4282655246252677,5.0214132762312635,true,61.13,59.57,1.56,-91.26,42.83
2025,Pete Carroll,LV,937,17,0.6382070437566703,0.6242532930195505,0.013953750737119764,0.6546204064156673,-1.6413362658997102,-0.20911404531719116,0.3767342582710779,4.454642475987193,true,63.82,62.43,1.4,-164.13,37.67
2025,Mike Tomlin,PIT,1029,18,0.6122448979591837,0.6035528889874506,0.008692008971733084,0.6199112295619311,-0.76663316027474,-0.004233087659481221,0.4314868804664723,5.227405247813411,true,61.22,60.36,0.87,-76.66,43.15
2025,Kevin Stefanski,CLE,1023,17,0.624633431085044,0.6169713778191128,0.007662053265931177,0.661805333764468,-3.7171902679424016,-0.18585162852320714,0.3460410557184751,4.359726295210166,true,62.46,61.7,0.77,-371.72,34.6
2025,Kyle Shanahan,SF,1175,19,0.5940425531914894,0.5897668827775021,0.004275670413987274,0.601060741607179,-0.7018188415689671,0.06193847070605845,0.4765957446808511,5.611063829787234,true,59.4,58.98,0.43,-70.18,47.66
2025,Kellen Moore,NO,1060,17,0.6320754716981132,0.6306860566594037,0.00138941503870951,0.6615730748810577,-2.9497603182944485,-0.08013110753655595,0.4207547169811321,5.040566037735849,true,63.21,63.07,0.14,-294.98,42.08
2025,Brian Daboll,NYG,633,10,0.6097946287519748,0.6102614264540994,-0.0004667977021247004,0.6278686621071885,-1.8074033355213832,-0.008507570481340605,0.41706161137440756,5.263823064770932,true,60.98,61.03,-0.05,-180.74,41.71
2025,Mike McCoy,TEN,646,11,0.6377708978328174,0.6428873058078829,-0.0051164079750656045,0.6772694140961019,-3.949851626328455,-0.1249746917603629,0.37306501547987614,4.676470588235294,true,63.78,64.29,-0.51,-394.99,37.31
2025,Brian Schottenheimer,DAL,1097,17,0.6207839562443026,0.6262523477649358,-0.005468391520633138,0.6287256119689593,-0.7941655724656614,0.10294435444951117,0.4667274384685506,6.084776663628077,true,62.08,62.63,-0.55,-79.42,46.67
2025,Brian Callahan,TEN,348,6,0.6724137931034483,0.6845165344893711,-0.012102741385922882,0.7080882101737219,-3.5674417070273696,-0.22207530407879342,0.3764367816091954,4.028735632183908,false,67.24,68.45,-1.21,-356.74,37.64
2025,Nick Sirianni,PHI,1062,18,0.5743879472693032,0.5880995690969935,-0.013711621827690283,0.6043628849976621,-2.9974937728358864,0.025178673071539405,0.4322033898305085,5.289077212806026,true,57.44,58.81,-1.37,-299.75,43.22
2025,Todd Bowles,TB,1055,17,0.604739336492891,0.6233234467675791,-0.018584110274688075,0.6385017348832994,-3.3762398390408377,-0.0040853642355121265,0.4255924170616114,5.173459715639811,true,60.47,62.33,-1.86,-337.62,42.56
2025,Matt LaFleur,GB,1057,18,0.5676442762535477,0.5909494856824425,-0.023305209428894687,0.6016767433154605,-3.4032467061912777,0.13100891822233737,0.47587511825922424,5.763481551561021,true,56.76,59.09,-2.33,-340.32,47.59
2025,Dave Canales,CAR,1050,18,0.5961904761904762,0.6256129636811295,-0.0294224874906533,0.6470550726744391,-5.086459648396287,-0.025455222405664158,0.43333333333333335,5.123809523809523,true,59.62,62.56,-2.94,-508.65,43.33
2025,Sean McDermott,BUF,1190,19,0.5621848739495798,0.5919875782787358,-0.02980270432915593,0.590983095558501,-2.8798221608921257,0.1513141556213,0.4899159663865546,6.063025210084033,true,56.22,59.2,-2.98,-287.98,48.99
2025,Ben Johnson,CHI,1241,19,0.5946817082997583,0.6267489118168086,-0.0320672035170503,0.6325578034002151,-3.787609510045682,0.08462639779296266,0.45608380338436744,5.76228847703465,true,59.47,62.67,-3.21,-378.76,45.61
2025,Dan Quinn,WAS,969,17,0.5820433436532507,0.619894719727788,-0.037851376074537216,0.6232439466435904,-4.120060299033966,0.018658748243357854,0.4582043343653251,5.604747162022703,true,58.2,61.99,-3.79,-412.01,45.82
2025,Raheem Morris,ATL,1030,17,0.5660194174757281,0.604901978559446,-0.03888256108371784,0.6276064122348879,-6.158699475915976,-0.01703437924123948,0.43786407766990293,5.512621359223301,true,56.6,60.49,-3.89,-615.87,43.79
2025,Mike McDaniel,MIA,932,17,0.5686695278969958,0.610678181984176,-0.04200865408718031,0.6220165001820022,-5.3346972285006435,-0.007749519467737668,0.4227467811158798,5.490343347639485,true,56.87,61.07,-4.2,-533.47,42.27
2025,Mike Macdonald,SEA,1176,20,0.5246598639455783,0.5735998788726994,-0.04894001492712112,0.5882147817181892,-6.355491777261098,0.05469444233256042,0.4608843537414966,5.954931972789115,true,52.47,57.36,-4.89,-635.55,46.09
2025,Dan Campbell,DET,1046,17,0.5965583173996176,0.6474155541318394,-0.05085723673222181,0.6400149191656714,-4.345660176605385,0.09440062642485647,0.4541108986615679,6.075525812619503,true,59.66,64.74,-5.09,-434.57,45.41
2025,Aaron Glenn,NYJ,996,17,0.6104417670682731,0.6732680034984518,-0.06282623643017869,0.6953794834686511,-8.493771640037796,-0.128055902581144,0.4046184738955823,4.468875502008032,true,61.04,67.33,-6.28,-849.38,40.46
2025,Mike Kafka,NYG,441,7,0.5396825396825397,0.6043736057150054,-0.06469106603246567,0.6258266085501161,-8.614406886757637,0.041243850644493284,0.42403628117913833,5.315192743764173,false,53.97,60.44,-6.47,-861.44,42.4
2025,John Harbaugh,BAL,952,17,0.5262605042016807,0.610741040790947,-0.08448053658926633,0.6141816104093113,-8.79211062076306,0.04013824254223761,0.44642857142857145,5.945378151260504,true,52.63,61.07,-8.45,-879.21,44.64
